S,57,T,prob,Connected,40,39,34,32,29,24,19,16,15,14,10,9,8,1,55,58,53,56,48,50,42,44,41,54,38,51,30,43,25,36,20,33,7,26
1,,1,0.29819999999999997,False,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
0,,2,0.0696,True,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1,,2,0.0696,True,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
0,,2,0.09860000000000001,False,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
1,,2,0.09860000000000001,False,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
0,,2,0.12179999999999999,False,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,
1,,2,0.12179999999999999,False,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,
0,,2,0.1704,False,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
1,,2,0.1704,False,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
0,,2,0.2414,True,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
1,,2,0.2414,True,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
0,,2,0.29819999999999997,False,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
1,,2,0.29819999999999997,False,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.30250000000000005,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
1,,0,0.30250000000000005,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
0,,0,0.24750000000000003,False,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
1,,0,0.24750000000000003,False,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
0,,0,0.24750000000000003,False,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
1,,0,0.24750000000000003,False,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
0,,0,0.2025,False,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
1,,0,0.2025,False,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
0,,1,0.30250000000000005,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
1,,1,0.30250000000000005,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
0,,1,0.24750000000000003,False,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
1,,1,0.24750000000000003,False,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
0,,1,0.24750000000000003,False,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
1,,1,0.24750000000000003,False,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
0,,1,0.2025,False,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
