S,53,T,prob,Connected,52,47,43,39,38,26,25,18,8,5,2,57,60,41,59,40,56,30,54,29,48,22,49,20,45,15,34,14,37,6,27,31,32
0,,0,0.08960000000000001,False,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.08960000000000001,False,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.006299999999999999,False,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,
1,,0,0.006299999999999999,True,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,
0,,0,0.0195,False,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
1,,0,0.0195,True,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
0,,0,0.004200000000000001,False,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,
1,,0,0.004200000000000001,False,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,
0,,1,0.0693,False,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1,,1,0.0693,True,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
0,,1,0.21450000000000002,False,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
1,,1,0.21450000000000002,True,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
0,,1,0.046200000000000005,True,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,
1,,1,0.046200000000000005,True,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,
0,,1,0.1344,False,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
1,,1,0.1344,False,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
0,,1,0.41600000000000004,False,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
1,,1,0.41600000000000004,True,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
0,,1,0.08960000000000001,False,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
1,,1,0.08960000000000001,False,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
0,,1,0.006299999999999999,False,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,
1,,1,0.006299999999999999,True,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,
0,,1,0.0195,False,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
1,,1,0.0195,True,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
0,,1,0.004200000000000001,False,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,
1,,1,0.004200000000000001,False,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,
0,,2,0.0693,False,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1,,2,0.0693,True,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
0,,2,0.21450000000000002,False,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
1,,2,0.21450000000000002,True,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
0,,2,0.046200000000000005,True,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,
1,,2,0.046200000000000005,True,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,
0,,2,0.1344,False,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
1,,2,0.1344,False,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
0,,2,0.41600000000000004,False,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
1,,2,0.41600000000000004,True,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
0,,2,0.08960000000000001,False,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
1,,2,0.08960000000000001,False,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
0,,2,0.006299999999999999,False,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,
1,,2,0.006299999999999999,False,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,
0,,2,0.0195,False,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
1,,2,0.0195,False,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
