S,67,T,prob,Connected,64,59,58,54,50,44,35,30,26,24,23,22,20,17,15,13,12,8,2,63,65,61,62,45,46,40,42,31,38,19,32,9,27,6,21,4,14,1,7
1,,0,0.56,True,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.44,True,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.44,False,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.56,True,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.56,True,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.44,True,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.44,False,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.49,False,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.49,False,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.44,False,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.44,False,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.07,False,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.07,False,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.49,True,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.49,False,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.44,False,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.44,False,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.07,False,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.07,False,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.28,False,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.28,False,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.33,True,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.33,False,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.39,False,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.39,False,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.28,False,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.28,False,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.33,True,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.33,False,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.39,False,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.39,True,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.21,True,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.21,False,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.63,True,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.63,True,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.16,False,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.16,False,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.21,True,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
