S,41,T,prob,Connected,36,27,11,7,42,46,40,43,34,37,32,33,29,30,26,28,22,24,20,23,14,15,12,17,8,13
1,,0,0.1456,True,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
0,,0,0.1008,False,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,
1,,0,0.1008,False,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,
0,,0,0.033600000000000005,False,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,
1,,0,0.033600000000000005,True,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,
0,,0,0.1976,False,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,
1,,0,0.1976,False,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,
0,,0,0.1368,False,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
1,,0,0.1368,True,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
0,,0,0.0456,False,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,
1,,0,0.0456,True,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,
0,,0,0.1768,True,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,
1,,0,0.1768,True,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,
0,,0,0.12240000000000001,False,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,
1,,0,0.12240000000000001,True,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,
0,,0,0.0408,False,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,
1,,0,0.0408,True,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,
0,,1,0.1456,True,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1,,1,0.1456,True,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
0,,1,0.1008,False,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,
1,,1,0.1008,False,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,
0,,1,0.033600000000000005,False,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,
1,,1,0.033600000000000005,True,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,
0,,1,0.1976,False,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,
1,,1,0.1976,False,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,
0,,1,0.1368,False,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
1,,1,0.1368,False,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
0,,1,0.0456,False,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,
1,,1,0.0456,False,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,
0,,1,0.1768,True,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,
1,,1,0.1768,True,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,
0,,1,0.12240000000000001,False,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,
1,,1,0.12240000000000001,True,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,
0,,1,0.0408,False,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,
1,,1,0.0408,True,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,
0,,0,0.35,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
1,,0,0.35,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
0,,0,0.15,False,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,
1,,0,0.15,True,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,
0,,0,0.35,False,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,
1,,0,0.35,False,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,
0,,0,0.15,False,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
1,,0,0.15,True,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
0,,1,0.35,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
1,,1,0.35,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
0,,1,0.15,False,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,
1,,1,0.15,False,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,
