S,62,T,prob,Connected,61,17,58,59,51,56,50,55,44,54,42,53,41,52,33,43,21,34,20,40,9,37,5,35,1,31,27,48,49
0,,2,0.23320000000000002,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,,2,0.23320000000000002,False,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,,2,0.08800000000000001,False,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,,2,0.08800000000000001,False,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,,2,0.1188,False,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,,2,0.1188,False,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
0,,0,0.0924,False,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,,0,0.0924,True,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
0,,0,0.1892,True,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,
1,,0,0.1892,True,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,
0,,0,0.15839999999999999,False,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,
1,,0,0.15839999999999999,False,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,
0,,0,0.084,False,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
1,,0,0.084,False,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
0,,0,0.17200000000000001,False,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
1,,0,0.17200000000000001,False,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
0,,0,0.144,False,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,
1,,0,0.144,False,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,
0,,0,0.0336,False,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,
1,,0,0.0336,False,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,
0,,0,0.0688,False,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
1,,0,0.0688,False,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
0,,0,0.0576,False,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,
1,,0,0.0576,False,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,
0,,1,0.0924,False,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,,1,0.0924,True,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
0,,1,0.1892,True,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,
1,,1,0.1892,True,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,
0,,1,0.15839999999999999,False,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,
1,,1,0.15839999999999999,False,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,
0,,1,0.084,False,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
1,,1,0.084,False,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
0,,1,0.17200000000000001,False,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
1,,1,0.17200000000000001,False,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
0,,1,0.144,False,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,
1,,1,0.144,False,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,
0,,1,0.0336,False,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,
1,,1,0.0336,True,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,
0,,1,0.0688,False,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
1,,1,0.0688,False,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
0,,1,0.0576,True,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,
1,,1,0.0576,True,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,
0,,2,0.0924,False,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
1,,2,0.0924,False,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
0,,2,0.1892,False,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,
1,,2,0.1892,False,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,
0,,2,0.15839999999999999,False,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,
1,,2,0.15839999999999999,False,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,
0,,2,0.084,False,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
1,,2,0.084,True,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,
0,,2,0.17200000000000001,True,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
1,,2,0.17200000000000001,True,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
0,,2,0.144,True,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,
1,,2,0.144,True,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,
0,,2,0.0336,False,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,
1,,2,0.0336,True,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,
0,,2,0.0688,False,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
1,,2,0.0688,False,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
0,,2,0.0576,True,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,
1,,2,0.0576,True,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,
0,,0,0.11560000000000002,False,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
1,,0,0.11560000000000002,False,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
0,,0,0.22440000000000002,False,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,
1,,0,0.22440000000000002,False,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,
0,,0,0.0782,False,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,
1,,0,0.0782,False,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,
0,,0,0.15180000000000002,False,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
1,,0,0.15180000000000002,False,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
0,,0,0.1462,False,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,
1,,0,0.1462,False,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,
0,,0,0.2838,True,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,
1,,0,0.2838,True,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,
0,,1,0.11560000000000002,False,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
