S,57,T,prob,Connected,43,40,35,31,23,48,52,47,56,46,51,38,39,34,37,33,36,26,29,19,21,18,20,11,15,4,5
1,,0,0.3366,False,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
2,,0,0.3366,True,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
0,,0,0.17340000000000003,True,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
1,,0,0.17340000000000003,False,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
2,,0,0.17340000000000003,True,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
0,,1,0.3234,False,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
1,,1,0.3234,False,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
2,,1,0.3234,True,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
0,,1,0.1666,False,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
1,,1,0.1666,False,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
2,,1,0.1666,False,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
0,,1,0.3366,False,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
1,,1,0.3366,False,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
2,,1,0.3366,True,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
0,,1,0.17340000000000003,True,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
1,,1,0.17340000000000003,False,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
2,,1,0.17340000000000003,True,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
0,,0,0.1798,False,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1,,0,0.1798,False,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
2,,0,0.1798,False,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
0,,0,0.13019999999999998,False,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,
1,,0,0.13019999999999998,True,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,
2,,0,0.13019999999999998,True,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,
0,,0,0.145,False,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,
1,,0,0.145,True,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,
2,,0,0.145,True,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,
0,,0,0.105,False,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
1,,0,0.105,True,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
2,,0,0.105,True,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
0,,0,0.2552,False,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,
1,,0,0.2552,False,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,
2,,0,0.2552,False,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,
0,,0,0.1848,False,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,
1,,0,0.1848,True,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,
2,,0,0.1848,True,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,
0,,1,0.1798,False,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1,,1,0.1798,False,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
2,,1,0.1798,False,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
0,,1,0.13019999999999998,False,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,
1,,1,0.13019999999999998,True,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,
