S,34,T,prob,Connected,32,31,30,28,23,14,13,10,8,7,3,29,33,26,27,20,24,19,22,2,6
0,,0,0.3904,True,,,,,,,,,,,,,,,,,,0.0,0.0,,
1,,0,0.3904,True,,,,,,,,,,,,,,,,,,0.0,0.0,,
0,,0,0.2196,False,,,,,,,,,,,,,,,,,,1.0,0.0,,
1,,0,0.2196,True,,,,,,,,,,,,,,,,,,1.0,0.0,,
0,,0,0.24960000000000002,True,,,,,,,,,,,,,,,,,,0.0,1.0,,
1,,0,0.24960000000000002,True,,,,,,,,,,,,,,,,,,0.0,1.0,,
0,,0,0.1404,False,,,,,,,,,,,,,,,,,,1.0,1.0,,
1,,0,0.1404,True,,,,,,,,,,,,,,,,,,1.0,1.0,,
0,,1,0.3904,True,,,,,,,,,,,,,,,,,,0.0,0.0,,
1,,1,0.3904,True,,,,,,,,,,,,,,,,,,0.0,0.0,,
0,,1,0.2196,False,,,,,,,,,,,,,,,,,,1.0,0.0,,
1,,1,0.2196,True,,,,,,,,,,,,,,,,,,1.0,0.0,,
0,,1,0.24960000000000002,True,,,,,,,,,,,,,,,,,,0.0,1.0,,
1,,1,0.24960000000000002,True,,,,,,,,,,,,,,,,,,0.0,1.0,,
0,,1,0.1404,False,,,,,,,,,,,,,,,,,,1.0,1.0,,
1,,1,0.1404,True,,,,,,,,,,,,,,,,,,1.0,1.0,,
0,,0,0.27,True,,,,,,,,,,,,,,,,,,,,0.0,0.0
1,,0,0.27,False,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,,0,0.23,False,,,,,,,,,,,,,,,,,,,,1.0,0.0
1,,0,0.23,True,,,,,,,,,,,,,,,,,,,,1.0,0.0
0,,0,0.27,True,,,,,,,,,,,,,,,,,,,,0.0,1.0
1,,0,0.27,False,,,,,,,,,,,,,,,,,,,,0.0,1.0
0,,0,0.23,False,,,,,,,,,,,,,,,,,,,,1.0,1.0
1,,0,0.23,True,,,,,,,,,,,,,,,,,,,,1.0,1.0
0,,1,0.27,True,,,,,,,,,,,,,,,,,,,,0.0,0.0
1,,1,0.27,False,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,,1,0.23,False,,,,,,,,,,,,,,,,,,,,1.0,0.0
1,,1,0.23,True,,,,,,,,,,,,,,,,,,,,1.0,0.0
0,,1,0.27,True,,,,,,,,,,,,,,,,,,,,0.0,1.0
1,,1,0.27,False,,,,,,,,,,,,,,,,,,,,0.0,1.0
0,,1,0.23,False,,,,,,,,,,,,,,,,,,,,1.0,1.0
1,,1,0.23,True,,,,,,,,,,,,,,,,,,,,1.0,1.0
