S,51,T,prob,Connected,49,47,46,45,37,34,31,27,23,21,20,19,17,16,15,14,4,3,2,43,50,25,33,24,32,5,18,35,39,41
0,,1,0.4,False,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
1,,1,0.4,False,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
0,,1,0.41,True,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
1,,1,0.41,True,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
0,,1,0.19,False,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
1,,1,0.19,False,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
0,,0,0.0736,True,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1,,0,0.0736,True,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
0,,0,0.21760000000000002,False,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,
1,,0,0.21760000000000002,True,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,
0,,0,0.0288,False,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,
1,,0,0.0288,False,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,
0,,0,0.11270000000000001,False,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,
1,,0,0.11270000000000001,False,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,
0,,0,0.3332,False,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
1,,0,0.3332,False,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
0,,0,0.0441,False,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,
1,,0,0.0441,False,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,
0,,0,0.0437,False,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,
1,,0,0.0437,False,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,
0,,0,0.1292,False,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,
1,,0,0.1292,False,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,
0,,0,0.0171,False,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,
1,,0,0.0171,False,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,
0,,1,0.0736,False,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
1,,1,0.0736,False,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
0,,1,0.21760000000000002,False,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,
1,,1,0.21760000000000002,False,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,
0,,1,0.0288,False,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,
1,,1,0.0288,False,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,
0,,1,0.11270000000000001,False,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,
1,,1,0.11270000000000001,False,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,
0,,1,0.3332,False,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
1,,1,0.3332,False,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
0,,1,0.0441,False,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,
1,,1,0.0441,False,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,
0,,1,0.0437,False,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,
1,,1,0.0437,False,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,
0,,1,0.1292,False,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,
1,,1,0.1292,False,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,
0,,1,0.0171,False,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,
1,,1,0.0171,False,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,
0,,0,0.34650000000000003,True,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,
1,,0,0.34650000000000003,True,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,
0,,0,0.2709,True,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,
1,,0,0.2709,True,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,
0,,0,0.0126,False,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,
1,,0,0.0126,False,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,
0,,0,0.20350000000000001,True,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,
1,,0,0.20350000000000001,True,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,
0,,0,0.1591,False,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
1,,0,0.1591,False,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
0,,0,0.0074,False,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,
1,,0,0.0074,False,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,
0,,1,0.34650000000000003,True,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,
1,,1,0.34650000000000003,True,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,
0,,1,0.2709,True,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,
1,,1,0.2709,True,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,
0,,1,0.0126,False,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,
1,,1,0.0126,False,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,
0,,1,0.20350000000000001,True,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,
1,,1,0.20350000000000001,True,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,
0,,1,0.1591,False,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
1,,1,0.1591,False,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
0,,1,0.0074,False,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,
1,,1,0.0074,False,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,
0,,0,0.24779999999999996,False,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
1,,0,0.24779999999999996,False,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
0,,0,0.3245,True,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
1,,0,0.3245,True,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
0,,0,0.017699999999999997,False,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,
1,,0,0.017699999999999997,True,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,
0,,0,0.1722,False,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
1,,0,0.1722,False,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
0,,0,0.2255,False,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
1,,0,0.2255,False,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
0,,0,0.012299999999999998,False,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,
1,,0,0.012299999999999998,False,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,
0,,1,0.24779999999999996,False,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
1,,1,0.24779999999999996,False,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
0,,1,0.3245,True,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
1,,1,0.3245,True,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
0,,1,0.017699999999999997,False,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,
1,,1,0.017699999999999997,True,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,
0,,1,0.1722,False,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
1,,1,0.1722,True,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
0,,1,0.2255,False,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
1,,1,0.2255,False,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
0,,1,0.012299999999999998,False,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,
1,,1,0.012299999999999998,True,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,
0,,0,0.39440000000000003,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
1,,0,0.39440000000000003,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
0,,0,0.1856,False,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,
1,,0,0.1856,False,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,
0,,0,0.2856,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,
1,,0,0.2856,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,
0,,0,0.1344,False,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
1,,0,0.1344,False,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
0,,1,0.39440000000000003,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
1,,1,0.39440000000000003,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
0,,1,0.1856,False,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,
1,,1,0.1856,False,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,
0,,1,0.2856,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,
1,,1,0.2856,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,
0,,1,0.1344,False,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
